system:index,PfafIDIrrWW_yearY2014M12,countIrrWW_yearY2014M12,meanIrrWW_yearY2014M12,.geo
94,112807,9643,0.0,
95,112808,3496,1.9193913871747896E-5,
96,112809,10746,0.0018317909356201023,
97,112901,27,0.0,
98,112902,3218,0.0,
99,112903,1169,0.0,
100,112904,2951,0.0,
101,112905,37,0.0,
102,112906,2413,0.0,
103,112907,779,0.0,
104,112908,5204,0.0,
105,112909,20422,0.001266657405541606,
106,113000,4675,0.0,
107,114001,54761,0.0,
108,114002,2390,0.0,
109,114100,1656,0.011540884739955832,
110,114210,16802,6.537157474629323E-4,
111,114221,2409,2.0885022446362973E-5,
112,114222,5839,0.0,
113,114223,174,0.0,
114,114224,77580,1.1831387841877156E-4,
115,114225,2250,0.0,
116,114226,17050,7.092485720138734E-4,
117,114227,24212,1.9576945347100455E-4,
118,114228,5771,0.0,
119,114229,9213,0.0,
120,114230,2510,0.0,
121,114240,9987,0.0,
122,114250,4469,0.0,
123,114260,6798,0.0,
124,114270,14977,1.3885518427522663E-4,
125,114281,1050,0.0013805023668504231,
126,114282,6319,0.0,
127,114283,60,0.0,
128,114284,14492,0.0,
129,114285,1297,0.0,
130,114286,6726,0.0,
131,114287,4228,0.0,
132,114288,2619,0.0,
133,114289,5390,0.0,
134,114290,26586,0.003839785412935543,
135,114300,722,0.24399462308708622,
136,114410,3376,9.971982905866871E-6,
137,114411,11647,0.03670580997197866,
138,114412,3525,0.0,
139,114413,15127,9.426460734342167E-4,
140,114414,3267,1.1115850277191298E-4,
141,114415,1,0.009079917230711523,
142,114416,4264,0.0,
143,114417,542,0.0073638148203418715,
144,114418,12522,2.068426018956078E-5,
145,114419,3385,0.0013204439724332833,
146,114420,17640,1.6337873636477275E-5,
147,114430,12313,0.0019372104580543204,
148,114441,1660,0.0030268614836159815,
149,114442,3796,8.835493570028575E-4,
150,114443,23070,0.001042780159796253,
151,114444,3586,0.0,
152,114445,6066,0.0,
153,114446,8489,0.0,
154,114447,2883,0.0,
155,114448,12265,0.0,
156,114449,8665,0.0,
157,114450,473,7.681677539848005E-4,
158,114460,29132,9.719070119489433E-4,
159,114470,26976,2.5006378304150666E-4,
160,114480,17674,2.185081884497508E-5,
161,114490,22455,3.2638272236002996E-6,
162,114500,27914,0.01631221441714386,
163,114601,5823,0.0,
164,114602,10662,0.024894876832423203,
165,114603,506,4.0012593362556773E-4,
166,114604,6933,0.0,
167,114605,4090,9.378488756352799E-5,
168,114606,5583,5.465864493690558E-4,
169,114607,21267,1.8682652630361372E-4,
170,114608,3869,0.0,
171,114609,2978,0.0,
172,114701,4745,0.15171761935808217,
173,114702,5013,0.013188432391831461,
174,114703,5019,0.06499965665531313,
175,114704,8359,2.2943371028273884E-4,
176,114705,9685,0.0023779354464301774,
177,114706,1442,0.0,
178,114707,446,0.0,
179,114708,1479,0.0,
180,114709,13,0.0,
181,114801,5712,1.281130968643421E-4,
182,114802,3134,0.0,
183,114803,856,0.0,
184,114804,3306,3.10112100254449E-6,
185,114805,5341,0.0,
186,114806,4465,0.0,
187,114807,8853,5.664338585398713E-5,
188,114808,9325,1.6607459125141376E-4,
189,114809,12520,1.7337823256775977E-4,
190,114910,24602,0.002836472109315241,
191,114920,13186,1.9738454372756424E-4,
192,114931,367,0.007376136616434199,
193,114932,6668,0.0023438487833974475,
194,114933,3381,0.0,
195,114934,4835,0.0,
196,114935,10129,0.0012311098018983225,
197,114936,1413,0.0,
198,114937,2005,0.0,
199,114938,7122,0.0,
200,114939,3723,0.0,
201,114940,17917,1.4425736507566397E-4,
202,114950,8839,0.0,
203,114960,17499,0.007856814048446372,
204,114970,3830,0.0,
205,114980,12419,2.3412618504384718E-5,
206,114990,32085,0.0035487767213176653,
207,115101,71040,5.195505903510568E-4,
208,115102,2813,0.0010233071439896826,
209,115103,1057,0.0,
210,115201,4944,2.8635296672326595E-6,
211,115202,7332,0.0010708487741560673,
212,115203,9279,0.007676334650816462,
213,115204,4711,0.0,
214,115205,18925,1.674470969342403E-4,
215,115206,1020,0.0,
216,115207,6669,0.0012530684302869482,
217,115208,4606,4.253559737647958E-6,
218,115209,6567,4.6280245931060025E-4,
219,115300,31550,0.0014584500208397067,
220,115410,59,0.0,
221,115421,2746,0.0,
222,115422,5910,0.0,
223,115423,190,0.0,
224,115424,27002,0.005372371425933426,
225,115425,317,0.0,
226,115426,4129,4.824681666343225E-5,
227,115427,2339,0.0,
228,115428,1980,0.0,
229,115429,11579,0.001085181922949644,
230,115430,18309,0.0,
231,115440,14238,0.0,
232,115451,34,0.0,
233,115452,3041,0.0,
234,115453,6141,7.110566906398428E-4,
235,115454,5229,9.402480709574069E-4,
236,115455,8528,3.299927122686189E-4,
237,115456,4944,0.0,
238,115457,740,0.0,
239,115458,4129,3.5322677520343177E-4,
240,115459,17083,0.0017502080214995114,
241,115460,8270,0.001597215901490373,
242,115470,9268,0.0015575297550120255,
243,115480,12405,0.0,
244,115490,6089,0.0,
245,115501,6,0.0,
246,115502,8893,0.0,
247,115503,750,0.0,
248,115504,2436,0.0,
249,115505,2096,0.0,
250,115506,7486,0.0,
251,115507,574,0.0,
252,115508,7481,0.0,
253,115509,7552,0.0,
254,115601,269,0.0,
255,115602,21806,0.002163990581450485,
256,115603,1991,8.149787607230897E-5,
257,115604,2276,0.007130545329862577,
258,115605,19149,0.00594115595858546,
259,115606,1710,0.005687681609772963,
260,115607,4877,9.31121705502564E-4,
261,115608,12255,0.003173223376016545,
262,115711,18,0.0,
263,115712,7528,3.092253445935261E-5,
264,115713,7,0.0,
265,115714,25076,0.0013389743529113904,
266,115715,13882,0.008333669671589748,
267,115716,6926,0.006575150319803497,
268,115717,32235,0.008235834096171728,
269,115718,4428,0.005126634960414239,
270,115719,27564,0.009822255613315322,
271,115720,175,0.0,
272,115730,15209,6.233086249055404E-4,
273,115740,4470,0.0,
274,115750,4443,0.0,
275,115801,15355,0.0022861496245017467,
276,115802,8564,4.6853747345046654E-4,
277,115803,22718,2.3405410325160391E-4,
278,115804,1554,0.0,
279,115805,2794,0.0,
280,115806,5497,0.0,
281,115807,2697,0.0,
282,115808,8272,0.0,
283,115809,7022,0.0,
284,115900,20078,3.0990912547879126E-5,
285,116001,3505,3.585519559575892E-4,
286,116002,38883,3.6091185327390466E-4,
287,116003,3319,3.3267699001825283E-4,
288,116004,21261,0.0012904242450541559,
289,116005,3515,0.0,
290,116006,4365,0.0,
291,116007,6990,0.0,
292,116008,3767,0.0,
293,116009,7974,1.6905053596669566E-4,
294,117000,10611,0.0010114965160597075,
295,117100,200,0.0,
296,117101,327,0.0,
297,117102,12545,2.5245131075780696E-4,
298,117103,154,0.0,
299,117104,13065,0.0,
300,117105,9005,0.0,
301,117106,6687,0.00103578367375323,
302,117107,528,0.0,
303,117108,11426,3.0819135304205705E-4,
304,117109,3709,0.0,
305,117201,2410,4.902801806805043E-4,
306,117202,9093,0.0,
307,117203,5632,2.8591262115057795E-4,
308,117204,15089,8.072088475686458E-4,
309,117205,7273,0.0017617289541258898,
310,117206,15598,5.941866888410479E-4,
311,117207,2233,0.04731099009533496,
312,117208,6528,0.00883676279857607,
313,117209,47115,0.018057194127974154,
314,117300,3443,0.0011624343123413639,
315,117310,1731,0.0,
316,117320,9733,0.0012722031591278582,
317,117321,35,0.0,
318,117322,3445,2.7299138684350644E-4,
319,117323,4536,0.0011308410291223376,
320,117324,8445,6.338926908411621E-4,
321,117325,4901,0.0025517098499763654,
322,117326,10718,3.0408329021300155E-4,
323,117327,860,0.0050002914851872355,
324,117328,3379,0.0014885138095884361,
325,117329,8495,0.027302952689596614,
326,117331,962,5.798211514790005E-5,
327,117332,8998,0.0012416637733526272,
328,117333,1609,2.1763835472439103E-4,
329,117334,4584,2.3079498372794905E-4,
330,117335,130,6.18185885165994E-4,
331,117336,5124,8.963095976812299E-4,
332,117337,3766,5.388564386905505E-4,
333,117338,7822,0.0023418468750322926,
334,117339,4481,4.536004168258562E-4,
335,117340,3629,1.5567100703658973E-4,
336,117341,3562,7.917967591638583E-4,
337,117342,1453,0.03948224467125138,
338,117343,225,0.0054062672278858874,
339,117344,24075,1.66885467853916E-4,
340,117345,1996,0.00551204539361139,
341,117346,2560,0.03431664958040539,
342,117347,7977,0.003956028978712944,
343,117348,6817,0.018069241686525885,
344,117349,7746,0.025625022156974587,
345,117350,9106,0.0,
346,117360,1417,0.0,
347,117361,8261,6.184975088871437E-4,
348,117362,4616,0.0,
349,117363,1954,0.004693391907650812,
350,117364,3249,8.757972052944816E-4,
351,117365,5139,0.011456896079053331,
352,117366,3863,0.0033783849564483267,
353,117367,10234,0.002274056439651153,
354,117368,3636,0.0,
355,117369,8350,2.5370571249960094E-4,
356,117370,289,0.0056251078265507045,
357,117380,20668,0.00467359460098523,
358,117390,8986,3.673812951094424E-4,
359,117400,31535,5.759820614684488E-4,
360,117410,6659,4.9687449391681196E-5,
361,117420,9684,0.0,
362,117430,6244,0.0,
363,117441,7455,0.0,
364,117442,30064,3.406336303462195E-6,
365,117443,1483,0.0,
366,117444,4685,1.1983786947643855E-5,
367,117445,6049,0.001690664611555353,
368,117446,6873,6.341508213906325E-4,
369,117447,7098,3.468020761326952E-5,
370,117448,11424,3.0029043201032946E-4,
371,117449,10133,2.3029733983181088E-4,
372,117450,23656,0.0016373152531316269,
373,117460,32576,0.0,
374,117470,3648,0.0,
375,117480,6353,0.005100505180443729,
376,117490,34383,0.009541365587814129,
377,117501,4101,0.0,
378,117502,19773,8.854433091751625E-6,
379,117503,131,0.0,
380,117504,4880,0.0,
381,117505,1891,0.0,
382,117506,20274,1.7302460216997187E-4,
383,117507,1796,7.989049917559276E-4,
384,117508,7144,0.0015557315144490089,
385,117509,6695,8.689224737277327E-5,
386,117610,21194,4.2160839954261E-4,
387,117621,20963,0.0,
388,117622,7510,0.0,
389,117623,6148,0.0,
390,117624,5529,0.0,
391,117625,3107,0.0,
392,117626,5092,1.1587649418597905E-6,
393,117627,2338,0.0,
394,117628,4803,1.334615203210691E-5,
395,117629,17441,1.3007822168857288E-4,
396,117630,7944,0.0,
397,117640,12237,3.368547204456991E-5,
398,117650,27139,0.0,
399,117660,11080,5.90248491804154E-4,
400,117670,16159,6.139906046540433E-6,
401,117680,7373,1.293529967285598E-5,
402,117690,8974,0.0,
403,117701,4237,1.194138749971205E-6,
404,117702,3062,0.0,
405,117703,3098,0.0,
406,117704,29472,3.704878153369627E-4,
407,117705,3488,9.455630253493556E-4,
408,117706,12305,4.898104430270359E-4,
409,117707,5022,3.0398143101064123E-4,
410,117708,6600,0.0,
411,117709,6,0.0,
412,117801,19386,5.8599870307023727E-5,
413,117802,8138,1.2085599122068673E-4,
414,117803,4481,0.0,
415,117804,4823,0.0,
416,117805,9139,0.0,
417,117806,4243,0.0,
418,117807,14182,2.1268834906290625E-5,
419,117808,4009,1.2205298005193926E-4,
420,117809,5404,3.434170806967034E-6,
421,117911,4254,0.0,
422,117912,11369,0.0,
423,117913,4828,0.0,
424,117914,9748,0.0,
425,117915,2892,0.0,
426,117916,4522,0.0,
427,117917,881,0.0,
428,117918,3489,0.0,
429,117919,3366,0.0,
430,117920,12385,5.188085255114794E-4,
431,117930,3842,0.0,
432,117940,17976,1.6338541010945778E-4,
433,117950,35035,3.637383538174715E-5,
434,117960,27987,4.346611286456857E-5,
435,117970,4764,0.0,
436,117980,23322,2.478486738568249E-4,
437,117990,502,0.0,
438,121000,5402,0.002559210336792779,
439,122100,13683,5.333267547867401E-4,
440,122211,6406,3.4933649345395327E-4,
441,122212,1855,0.0015643138863017773,
442,122213,3138,4.351729353897013E-5,
443,122214,5851,0.044250012131360976,
444,122215,3894,0.053957057811753896,
445,122216,2115,0.013728736315011642,
446,122217,20739,0.0012965116037862434,
447,122218,7387,2.0365969621427953E-4,
448,122219,381,5.154196872425052E-7,
449,122220,10173,6.790246962079896E-4,
450,122230,15251,3.564944202187478E-4,
451,122240,13981,0.0011975053591235035,
452,122250,4175,0.00209190203089349,
453,122260,9898,0.0011065400815803048,
454,122270,25323,9.651810956046543E-4,
455,122281,58,0.0,
456,122282,18679,1.1326671624314384E-4,
457,122283,8866,3.566938339722676E-4,
458,122284,3054,1.7261412577592323E-4,
459,122285,1410,1.302789795408966E-4,
460,122286,2459,0.0020444626950147046,
461,122287,2283,0.0,
462,122288,5474,0.0013960995307313265,
463,122289,4972,4.4000964144675655E-4,
464,122290,14591,3.7391021539075284E-4,
465,122310,31891,2.9093028963874713E-4,
466,122321,1222,0.0,
467,122322,23462,5.78787947594283E-4,
468,122323,1012,6.683436964419664E-5,
469,122324,26869,0.004356718138962199,
470,122325,566,6.70237056507323E-4,
471,122326,979,0.0,
472,122327,743,0.0,
473,122328,2014,0.0,
474,122329,9878,0.002846223734767864,
475,122330,1421,0.00646075613394974,
476,122340,19786,1.3997430118159053E-4,
477,122350,11368,2.4847975610588083E-4,
478,122360,35190,1.2014609433412998E-4,
479,122371,6512,1.0183322799783293E-4,
480,122372,2747,0.0,
481,122373,5796,1.1765699604614756E-5,
482,122374,6294,2.4672874472292172E-5,
483,122375,2608,0.0,
484,122376,11494,0.002478963754062252,
485,122377,3260,0.0,
486,122378,2622,0.0,
487,122379,170,0.0,
488,122380,30585,0.005680942927087929,
489,122390,928,0.0,
490,122410,9362,0.0010877162727939548,
491,122421,1196,4.1583645464386774E-4,
492,122422,18009,4.968772617854044E-4,
493,122423,7491,0.0015360904836037642,
494,122424,10799,0.002616689542061698,
495,122425,914,3.2009357176772735E-5,
496,122426,4254,0.003046658178583631,
497,122427,5533,0.01971947091560445,
498,122428,2222,0.0024884000264497313,
499,122429,3051,0.004164818884124672,
500,122430,27772,0.0024999182245945073,
501,122440,12555,0.0030185797265214554,
502,122450,18864,0.0012885663661166172,
503,122460,7469,7.035251773946801E-6,
504,122470,3244,0.0011249632638354048,
505,122480,5516,0.002215893236556605,
506,122491,6706,0.001463868329395107,
507,122492,3053,1.547931359392337E-5,
508,122493,1532,0.0026258154054813114,
509,122494,2788,0.0029508065857640473,
510,122495,5977,0.00397237227830605,
511,122496,5303,0.004425349984869294,
512,122497,1273,0.0016769376047001858,
513,122498,3034,4.144824865234845E-4,
514,122499,10962,2.0750467098524383E-4,
515,122500,23063,0.00306402795177559,
516,122611,9237,0.029802390565828493,
517,122612,5371,0.00898508991366727,
518,122613,192,0.0,
519,122614,4748,0.0,
520,122615,4622,0.004174618238726232,
521,122616,10095,3.576651406146808E-4,
522,122617,15119,3.094323624419534E-4,
523,122618,8593,0.0,
524,122619,19409,1.9020137946558044E-4,
525,122620,12619,2.0291714474430256E-4,
526,122630,2524,4.6184605567149755E-4,
527,122640,29501,0.0,
528,122650,5639,6.292545153877819E-4,
529,122660,16242,8.693115496565743E-4,
530,122670,3328,1.4880414440168957E-4,
531,122680,11281,0.0019483734947619948,
532,122690,29803,0.008113691657769664,
533,122710,5407,0.002872646634066371,
534,122722,5618,0.001478213054860969,
535,122723,11478,2.3428284932993634E-4,
536,122724,14659,0.003096218215855336,
537,122725,8871,4.442328388580813E-4,
538,122726,3932,0.005469409743792093,
539,122727,1890,0.0,
540,122728,7726,0.0013489696751271174,
541,122729,8395,0.0028919354913197336,
542,122730,4711,3.666377503788864E-5,
543,122740,8391,0.0,
544,122750,4912,7.555625466230333E-4,
545,122760,12525,0.0,
546,122770,24193,0.001632483396397301,
547,122781,503,8.984434392941964E-5,
548,122782,2807,0.0,
549,122783,2653,0.0,
550,122784,25385,3.9238831987056555E-4,
551,122785,1998,0.0,
552,122786,1849,0.0,
553,122787,5021,6.608589039352292E-4,
554,122788,7791,1.9888919544629074E-4,
555,122789,5635,0.001861568351572416,
556,122790,26804,5.15295224477978E-4,
557,122810,16351,1.3222866192082482E-5,
558,122820,26020,0.0,
559,122830,15823,0.0,
560,122841,427,0.0,
561,122842,3197,0.0,
562,122843,2941,0.0,
563,122844,5885,0.0,
564,122845,151,0.0,
565,122846,18775,0.0,
566,122847,2010,0.0,
567,122848,6351,0.0,
568,122849,6829,0.0,
569,122851,10,0.0,
570,122852,5277,0.0,
571,122853,162,0.0,
572,122854,5104,0.0,
573,122855,11928,0.0,
574,122856,6580,0.0,
575,122857,2106,0.0,
576,122858,6842,0.0,
577,122859,830,0.0,
578,122860,9486,0.0,
579,122870,11735,0.0,
580,122880,12156,0.0,
581,122890,11676,0.0,
582,122911,7164,2.959318657126307E-4,
583,122912,18732,1.60495831322149E-5,
584,122913,17705,4.5715067408777743E-4,
585,122914,9276,1.062431408650063E-4,
586,122915,11505,0.0,
587,122916,10313,0.0,
588,122917,400,0.0,
589,122918,13061,0.0,
590,122919,11179,0.0,
591,122921,609,0.0,
592,122922,9754,0.0,
593,122923,614,0.0,
594,122924,15537,0.0,
595,122925,2123,0.0,
596,122926,5763,0.0,
597,122927,501,0.0,
598,122928,6274,0.0,
599,122929,9474,0.0,
600,122930,30101,7.657465325162532E-7,
601,122941,75,0.0,
602,122942,6053,0.0,
603,122943,2293,0.0,
604,122944,6592,0.0,
605,122945,2501,0.0,
606,122946,7806,0.0,
607,122947,17374,0.0,
608,122948,3721,0.0,
609,122949,9816,0.0,
610,122950,306,0.0,
611,122961,3054,0.0,
612,122962,3634,0.0,
613,122963,1190,0.0,
614,122964,25207,0.0,
615,122965,3358,0.0,
616,122966,6034,0.0,
617,122967,2557,0.0,
618,122968,27002,0.0,
619,122969,14397,0.0,
620,122970,33383,0.0,
621,122981,643,0.0,
622,122982,22493,0.0,
623,122983,1336,0.0,
624,122984,2966,0.0,
625,122985,6665,0.0,
626,122986,4664,0.0,
627,122987,4784,0.0,
628,122988,2411,0.0,
629,122989,3747,0.0,
630,122990,28675,0.0,
631,123010,21695,7.97234569785813E-5,
632,123021,399,0.014782891139312308,
633,123022,5200,3.8650162945364543E-4,
634,123023,1477,0.014316853190117405,
635,123024,11268,2.7428668308319772E-5,
636,123025,1247,3.2303262226509663E-5,
637,123026,4294,1.8941483128481916E-4,
638,123027,6707,3.159375938188315E-4,
639,123028,4012,7.529232624555645E-5,
640,123029,3533,0.0010194119064836586,
641,123030,1242,5.218060454234653E-4,
642,123040,35384,0.0030083866749387356,
643,123050,20914,8.496133609754563E-6,
644,123061,22208,3.7512397541209267E-4,
645,123062,53679,0.007582945800075806,
646,123063,11792,0.015015204811450501,
647,123064,10011,0.007390278844697174,
648,123065,955,0.01444351238962689,
649,123066,9836,5.999269665684446E-4,
650,123067,5567,4.348795578950215E-4,
651,123068,5624,3.844928132465698E-6,
652,123069,7650,1.0166377253346014E-4,
653,123070,30938,2.6580587724925586E-4,
654,123080,25327,1.9190491050721892E-4,
655,123090,4029,0.0019906490434866758,
656,124100,3418,0.026572200654149194,
657,124200,6405,0.0,
658,124201,20935,2.047823399099706E-4,
659,124202,8961,0.0,
660,124203,10671,0.0,
661,124204,6190,0.0,
662,124205,3410,0.0,
663,124206,8813,0.0,
664,124207,4841,0.0,
665,124208,6792,1.3550728042745135E-5,
666,124209,4608,0.0,
667,124300,3108,0.0727695157560541,
668,124401,3387,0.0017796502718551111,
669,124402,11632,3.308182346097833E-4,
670,124403,1947,5.767250512210949E-4,
671,124404,17489,0.043063529552266416,
672,124405,15787,0.02906677986117432,
673,124406,9181,0.014253794647408662,
674,124407,15634,0.004215317959413816,
675,124408,7792,0.027270221176492315,
676,124409,21469,0.016416779850666068,
677,124501,7251,0.0025224446196902383,
678,124502,18742,6.09517300623889E-4,
679,124503,9817,0.0013876155373813337,
680,124504,10116,1.892466829559663E-4,
681,124505,8244,0.0046593180691050055,
682,124506,17495,0.02212802715442021,
683,124507,1655,7.105932147986435E-4,
684,124508,19929,3.8089190048223685E-4,
685,124509,3805,0.018230538084160225,
686,124600,36293,5.315983492831225E-4,
687,124700,3227,0.007677727925372433,
688,124800,24464,0.0,
689,124910,814,5.28738129764911E-5,
690,124920,20398,0.004134449241770354,
691,124931,4528,3.6858770980841926E-4,
692,124932,12529,9.442324007644572E-6,
693,124933,6339,0.0035960703889465068,
694,124934,6158,0.005636043675496772,
695,124935,455,0.007421916149066691,
696,124936,10652,0.005278376867296039,
697,124937,5088,2.639874734040547E-6,
698,124938,2932,4.2845030333506595E-5,
699,124939,1244,1.5744519499806265E-4,
700,124940,14766,8.501071061768974E-6,
701,124950,5280,6.668671045261212E-4,
702,124960,22318,8.635853969365507E-5,
703,124970,1182,0.0015967484688981395,
704,124980,17130,0.004582584593096982,
705,124990,38051,0.021564046213533843,
706,125100,1001,0.0023498432814911003,
707,125201,4222,0.020561560379318847,
708,125202,5277,0.011174064796986679,
709,125203,1353,0.006839525662668499,
710,125204,4991,4.721695885353402E-5,
711,125205,5767,0.002769941471811595,
712,125206,9043,0.016864936464139384,
713,125207,1457,0.008328515767109468,
714,125208,13520,0.0189468168525284,
715,125209,14535,0.008531368185941263,
716,125300,13431,0.024502340041889767,
717,125401,1099,0.0027491280492211345,
718,125402,946,0.0,
719,125403,174,0.0,
720,125404,15472,0.006329761516467883,
721,125405,1666,0.07176073637697605,
722,125406,1092,5.005813707077841E-5,
723,125407,2852,0.011948353373140944,
724,125408,11142,0.003019783331435351,
725,125409,5118,4.958802212011133E-4,
726,125510,39354,0.0016931042212956166,
727,125520,38719,0.011417313265862958,
728,125531,5811,6.191056310818065E-4,
729,125532,5982,0.006210595844469861,
730,125533,12861,0.008476621491478863,
731,125534,9070,0.013645983937522373,
732,125535,8126,1.599446792011189E-4,
733,125536,26970,0.0029269086462378586,
734,125537,7597,4.4042477157220876E-4,
735,125538,8345,0.004590852940684545,
736,125539,3625,0.0,
737,125540,28185,0.0056070376778041605,
738,125550,11094,0.0037213449523885774,
739,125561,4720,0.013376713169022744,
740,125562,4613,0.011252971744948125,
741,125563,2050,0.005874729215448286,
742,125564,3862,0.023105116961666217,
743,125565,4192,0.06334789828742124,
744,125566,6509,0.00964130585803615,
745,125567,5771,0.029084657545732875,
746,125568,6092,0.010058533489052618,
747,125569,3866,0.013473901682679956,
748,125570,7460,0.00490069680877037,
749,125580,29518,0.021404581376557045,
750,125590,3542,0.011747013257165586,
751,125601,1659,0.04255821996667834,
752,125602,5655,0.004339350173845839,
753,125603,8435,0.0019974056793833654,
754,125604,1875,0.0019724595217803505,
755,125605,2118,0.006693902635559338,
756,125606,14253,7.71656118566865E-4,
757,125607,8709,6.576560297440746E-4,
758,125608,1909,0.0012320986211010075,
759,125609,3590,0.011819562378941915,
760,125700,10009,0.007750975410407083,
761,125801,2344,0.01685645128103287,
762,125802,18548,0.00857944523451246,
763,125803,879,0.0015948665722534587,
764,125804,25626,0.003160775410088381,
765,125805,3630,0.047277778550545775,
766,125806,2569,0.026143298036920077,
767,125807,3379,0.029849267479989432,
768,125808,1554,0.006524487885688173,
769,125809,4237,0.0017146083515399198,
770,125900,21988,0.04395207374496296,
771,126000,14216,0.0,
772,126010,17609,0.032129185745215734,
773,126020,10837,0.04030252419157509,
774,126030,7258,0.07292239326041969,
775,126041,933,0.06616306315483579,
776,126042,23196,5.473870791168529E-4,
777,126043,13881,0.026395578693622957,
778,126044,5354,0.001614372603490564,
779,126045,1345,0.004473037838042043,
780,126046,8867,0.002379371063330971,
781,126047,494,0.0019574125523272087,
782,126048,4234,0.01508722560527116,
783,126049,5274,0.0017325176454617685,
784,126050,3970,5.792748780269919E-4,
785,126060,6410,0.0,
786,126070,6557,0.0,
787,126080,13661,1.8265990668238858E-5,
788,126090,7863,4.043458662554793E-6,
789,127100,6765,7.076377161142674E-4,
790,127200,5107,0.0,
791,127201,317,0.0,
792,127202,23935,0.0,
793,127203,8339,0.0,
794,127204,13276,1.3110006121870497E-5,
795,127205,18852,0.0,
796,127206,6514,0.0,
797,127207,624,0.0,
798,127208,15023,0.0,
799,127209,20663,0.001691437050127252,
800,127300,12402,0.0,
801,127301,1398,0.0,
802,127302,6859,0.0,
803,127303,12588,0.0011501466664572233,
804,127304,16009,1.2029501994313464E-4,
805,127305,2474,7.868975399218622E-4,
806,127306,8525,0.0,
807,127307,17408,5.325997182323259E-4,
808,127308,6088,0.0,
809,127309,7623,0.0016015975312264601,
810,127400,33840,1.6048421075009576E-6,
811,127410,26930,9.345358513194592E-6,
812,127420,7055,0.0,
813,127421,3722,0.0,
814,127422,1590,0.0,
815,127423,2244,0.0,
816,127424,1519,0.0,
817,127425,3927,0.0,
818,127426,21125,1.4022190631382723E-4,
819,127427,1042,0.0,
820,127428,5069,4.0681120998533465E-4,
821,127429,5224,3.8509529419323376E-5,
822,127430,44,0.0,
823,127441,12070,0.0,
824,127442,14759,0.0,
825,127443,10391,0.0,
826,127444,7778,3.264064987400832E-5,
827,127445,6291,0.0,
828,127446,64917,5.311788918090828E-7,
829,127447,3950,2.9233816102004735E-6,
830,127448,9904,3.680883692374917E-4,
831,127449,17600,0.0011355361046502968,
832,127450,1674,0.0,
833,127461,665,0.0,
834,127462,3590,0.0,
835,127463,53,0.0,
836,127464,8970,0.0,
837,127465,11872,0.0,
838,127466,17737,0.0,
